Slippin' Into Darkness
Nice To Be With You

mysql> source C:\Users\emily\Documents\databases\Project\p6.txt
+--------------------------------------------------------------------------------+--------------+
| tr_title                                                                       | timesonchart |
| Kate                                                                           |            7 |
| Delta Dawn                                                                     |            7 |
| Duncan                                                                         |            7 |
| It Doesn't Matter                                                              |            7 |
| Superfly                                                                       |            7 |
| I've Got To Have You                                                           |            7 |
| Down By The River                                                              |            7 |
| I'm Movin' On                                                                  |            7 |
| Louisianna                                                                     |            7 |
| Guns, Guns, Guns                                                               |            6 |
| Once You Understand                                                            |            6 |
| Sunday Morning Sunshine                                                        |            6 |
| Nutrocker                                                                      |            6 |
| Family Affair                                                                  |            6 |
| War Song                                                                       |            6 |
| Rocky Mountain High                                                            |            6 |
| An American Trilogy (Dixie/Battle Hymn Of the Republic/All My Trials)          |            6 |
| That's What Friends Are For                                                    |            6 |
| Lovin' You, Lovin' Me                                                          |            6 |
| That's What Love Will Make You Do                                              |            6 |
| Ajax Airlines                                                                  |            6 |
| Been To Canaan                                                                 |            6 |
| White Lies                                                                     |            6 |
| Why Can't We Live Together                                                     |            6 |
| I Wanna Be With You                                                            |            6 |
| Handbags And Gladrags                                                          |            6 |
| Carry Me, Carrie                                                               |            6 |
| Country Wine                                                                   |            6 |
| Lookin' For A Love                                                             |            6 |
| Way Back Home                                                                  |            6 |
| It's One Of Those Nights (Yes Love)                                            |            6 |
| Best Thing                                                                     |            6 |
| Jackie Wilson Said (I'm In Heaven When You Smile)                              |            6 |
| Everybody Loves A Love Song                                                    |            6 |
| Love Song                                                                      |            6 |
| I Got Some Help I Don't Need                                                   |            6 |
| Look What They've Done To My Song, Ma                                          |            6 |
| What Am I Living For                                                           |            6 |
| Bed And Board                                                                  |            6 |
| Questions                                                                      |            6 |
| I'm Sorry                                                                      |            6 |
| Five Hundred Miles                                                             |            6 |
| Those Were The Days                                                            |            6 |
| I Love You More Than You'll Ever Know                                          |            6 |
| Got To Be There                                                                |            5 |
| Telegram Sam                                                                   |            5 |
| Do Ya                                                                          |            5 |
| Rockin' With The King                                                          |            5 |
| Misty Blue                                                                     |            5 |
| You're So Vain                                                                 |            5 |
| Circles                                                                        |            5 |
| Dance, Dance, Dance                                                            |            5 |
| Day And Night                                                                  |            5 |
| What'd I Say                                                                   |            5 |
| Hey Big Brother                                                                |            5 |
| I Knew You When                                                                |            5 |
| Hey Girl                                                                       |            5 |
| Woman To Woman                                                                 |            5 |
| Me And Bobby McGee                                                             |            5 |
| The Man And The Woman (The Boy And The Girl)                                   |            5 |
| A Lonely Man                                                                   |            5 |
| Money Back Guarantee                                                           |            5 |
| Them Changes                                                                   |            5 |
| Evil Ways                                                                      |            5 |
| Another Puff                                                                   |            5 |
